Number of Cases Per 1000 People,Number of Liscenced Hospital Beds Per 1000 People,Employed Population Per 1000 People,Average Per Capita Income,Average Temperature in Summer,Hispanic Population Per 1000 People,Black/African Population Per 1000 People,Asian Population Per 1000 People,Percent of Population in Poverty,Percentage of Pet Ownership,Testing Facilites For COVID-19,No. of Airports,Number of People With Health Insurance Per 1000 People,Average Household Size,Average Temperature For Winter,Elderly population(65+) in Percent,Kids Population (Younger Than 18) as a Percent,Risk/Case Class
3.756944,4,57.82291667,66510,59.9,93.722222,84.864583,99.829861,9.5,0,6,17,237.3506944,2.71,19.4,11.7,24,Low
3.417691,1.806936571,49.00411982,56606,40.83333333,81.962643,70.264019,33.898130,8.6,0,0,36,233.2703487,2.61,0.3,11.2,23.8,Low
4.343531,1.311575935,41.54459358,52015,45.73333333,42.685835,13.933365,18.583498,12.4,0,0,28,209.0856442,2.6,20.2,18.4,22.5,Low
0.000000,19.13875598,245.215311,45259,36.1,74.162679,80.143541,17.942584,5.79,0,8,11,0,2.45,18.4,16.4,17.8,Low
86.474842,1.923372827,35.85166949,63938,43.36666667,86.397907,21.080166,219.418372,8.2,0,0,10,232.8819818,3.05,28.2,11.4,24.9,High
15.844913,1.520110163,29.74050825,41618,70.83333333,29.883577,210.740920,11.731674,13.8,59.8,10,1,239.4799435,2.59,51.3,16,23.2,Normal
16.955600,5.081245584,49.2092821,35651,72.26666667,18.667464,135.536112,5.054073,19.9,59.8,10,2,218.8468018,2.44,53.8,21.4,22,Normal
15.272727,6.763636364,18.25454545,36645,70.83333333,24.218182,252.727273,11.054545,19.5,59.8,11,1,224.7272727,2.73,52.2,19.4,22.8,Normal
7.830521,3.702804419,30.8971713,34966,67.96666667,20.335073,126.259561,4.734734,23.5,59.8,8,2,210.0886245,2.34,48.5,21.7,21.1,Medium
6.128431,3.15937726,19.37497621,35192,73.06666667,41.680941,103.383959,3.501960,21.3,59.8,9,6,218.2634845,2.5,50,20.6,22,Medium
14.273285,6,58.3868455,54730,51.2,40.804892,442.171179,17.896270,17,59.8,2,5,227.6649665,2.47,49,16.3,22.8,Normal
10.168701,2.845198158,61.39835724,51445,65.76666667,51.894698,261.613423,26.757198,13.2,59.8,9,11,217.2942997,2.4,46.8,19.4,23.2,Medium
15.665158,5,49.74710196,38243,70.76666667,30.113018,371.614917,20.713439,19.28,59.8,0,11,233.711672,2.6,55.1,16.6,23.3,Normal
23.829287,5,56.30370089,43688,72.4,36.841129,602.408096,32.779068,20.1,59.8,1,5,229.3784163,2.45,52.2,27,18.5,High
9.123076,9,57.29632945,35581,64.3,28.008697,356.013130,89.994458,25.19,69,9,4,0,2.47,48.8,17.7,20.6,Medium
16.380933,3,37.28951519,22052,65.8,57.028031,246.985807,3.001475,20.19,69,10,2,0,2.57,49.7,20.9,22.4,Normal
14.275939,1,45.43581917,88890,64.3,170.630613,27.115329,41.656367,8.6,69,11,15,254.9070183,2.72,42.3,13.6,26,Normal
10.009926,11,65.50721975,51185,67.66666667,62.496332,391.629732,22.594416,17.03,69,9,9,230.1032632,2.46,45.5,16.1,23.1,Medium
9.497211,8,62.42030244,42110,67.5,147.566633,85.146331,47.400002,15.6,69,9,2,232.9320097,2.48,45.2,16.4,24,Medium
22.367436,4,53.60659233,40247,64.2,171.409817,47.623826,26.326682,15.2,69,9,4,235.9367357,2.57,42.2,12.1,24.1,High
48.393495,7.401464065,30.60654142,18333,53.1,114.997656,9.997836,6.004111,28.53,58,9,3,0,3.08,36.3,18.8,26.3,High
14.845816,3.124690712,44.38663217,24829,61.3,169.001937,12.998336,11.999189,17.48,58,8,3,0,2.37,47.5,31.1,16.7,Normal
38.908287,2.253536801,13.89681027,34355,60.03333333,65.881175,11.921488,4.799199,37.3,58,9,4,240.4329016,3.44,35.3,15.8,27,High
11.107409,0.9256173868,32.85941723,40267,68.2,189.122144,11.903440,9.052538,20.4,58,10,5,185.2160391,2.42,46.7,29.4,19.7,Medium
4.106128,5.158980838,22.53105917,39855,65.4,476.521373,30.322173,8.317541,10.5,58,10,2,267.5300063,2.92,43.6,13.7,27,Low
22.415545,3,53.45080744,47694,78.73333333,314.096982,77.034807,46.308100,14.73,58,10,38,223.4382378,2.76,56.1,15.5,23.5,High
13.358427,4,41.63264994,44028,75.3,377.593745,53.221730,33.491553,17.78,58,11,10,197.4440431,2.47,54.9,20.3,20.6,Normal
6.222910,2,41.78239805,40312,66.8,147.346437,14.296105,12.526638,13.2,58,5,17,148.750101,2.29,46.3,32.5,17.9,Medium
5.769660,2,43.78671105,76644,64.06666667,223.208596,128.276360,323.330116,10.57,40.1,7,4,211.6608998,2.81,51.6,14.3,20.3,Low
5.376558,1.470274619,37.39924371,82506,65.73333333,260.436262,112.435264,183.019715,9.12,40.1,10,4,231.8569326,2.86,51.8,16.3,22.4,Low
11.422269,2,40.61351155,43084,60.9,537.663359,68.283387,111.453196,24.13,40.1,9,24,279.4822545,3.16,44.8,12.6,28.2,Medium
16.422775,2,43.45765017,62224,65.16666667,486.295245,99.771822,153.942477,15.98,40.1,10,21,218.4353648,3,52.6,14.1,21.4,Normal
4.316203,2,44.66317954,107877,62.73333333,250.173769,37.070273,390.195928,7.92,40.1,11,5,229.6400346,2.97,51,13.9,26.1,Low
6.661558,3.393329059,41.9910509,51664,67.16666667,272.768702,176.573743,161.552845,10.38,40.1,9,5,225.1548667,2.87,51.6,16.3,22,Medium
9.438158,2,52.27463105,60180,57.76666667,197.506816,135.929576,65.559938,9.01,47.2,10,10,229.9166908,2.66,33.6,13.5,23.3,Medium
11.894760,4,44.95944093,79849,58.9,292.877858,113.064846,40.818965,10.92,47.2,10,1,187.0227486,2.31,35.5,11.9,19.1,Medium
5.255392,2,44.96788603,48467,56.3,177.325747,90.511839,31.468497,10.91,47.2,7,16,234.7783116,2.64,33.4,13.2,23.8,Low
5.824516,1,51.57141852,63536,52.83333333,155.884306,21.692249,30.984026,7.38,47.2,10,3,198.7626977,2.44,32.8,16.9,19.4,Low
3.735484,2,64.13870968,54188,49.16666667,137.177419,22.841935,27.416129,10.5,47.2,11,11,222.9387097,2.46,28.9,16.2,19.4,Low
15.004264,2.013437737,49.9299801,56650,57.2,191.418146,168.871387,43.300026,11.87,49.9,10,3,206.1860856,2.52,35.2,17.9,20,Normal
5.097924,1.579903924,55.03646222,59264,56.4,111.019359,91.706070,43.253169,9.8,49.9,6,9,199.2451151,2.39,36.4,18.8,19.2,Low
6.216785,1.386668082,28.97406466,56614,55.93333333,58.790746,48.619635,50.484007,8,49.9,9,3,181.2819713,2.46,33.9,16.3,17.2,Medium
5.608741,1.23306674,43.08026922,47264,55.73333333,124.471237,44.878492,14.899556,11.7,49.9,9,11,201.1097601,2.5,34.5,17.2,19.7,Low
24.852172,2,53.30771694,42639,54.5,93.000320,121.998079,13.999360,11.7,57.9,9,7,0,2.42,42.3,28.7,18.3,High
12.595002,2,52.5759738,32749,53.9,73.999093,273.002334,24.000752,13.58,57.9,10,10,0,2.63,40.6,17.5,22.8,Medium
11.151618,4,54.50708989,56745,61.43333333,104.160515,282.146136,57.862777,11.43,57.9,8,6,214.8713295,2.64,39.7,16.1,24.1,Medium
22.402444,3,58.26161499,50269,79.8,310.830007,318.237915,38.722784,13.49,56,9,4,201.1396073,2.65,71.1,17.1,21,High
18.772024,3.608438484,60.03101002,46174,74.83333333,105.179300,324.493216,49.973114,15.47,56,10,8,213.6851282,2.55,60.5,14.5,22.5,Normal
16.910014,3,51.80275658,47000,78.53333333,296.810800,196.929553,44.483304,15.31,56,9,9,213.1588458,2.63,66.2,14.5,22.1,Normal
33.988605,3,54.55696482,50022,80.6,694.297261,185.777750,16.235544,18.04,56,9,11,196.4342238,3.07,72,16.7,20.2,High
18.376905,3,54.45058359,79760,79,233.558930,209.787743,29.446074,12.82,56,10,12,180.9369509,2.6,70.5,24.4,19,Normal
14.554932,3.973349634,55.86894715,53455,78.7,101.957341,123.074351,35.683223,13.05,56,9,3,157.0909009,2.31,66.5,25.4,15.9,Normal
12.863214,5.420999896,68.35504267,47563,73.46666667,66.810628,425.830080,29.478630,14.4,51.5,10,3,200.0138203,2.54,56.3,16,20.8,Medium
11.795180,2,56.22641063,57162,66.43333333,133.030582,304.573757,55.990928,10.01,51.5,9,2,225.673921,2.65,48.4,12.7,23.3,Medium
13.437430,3,46.31389298,50871,66.9,85.285468,562.279319,64.708540,16.58,51.5,10,0,214.8566371,2.63,49,12.9,23,Normal
13.317518,4,60.95191727,84386,66.76666667,72.159348,458.109832,76.034577,0,51.5,10,3,205.9746019,2.47,48.9,12,21.4,Normal
15.059012,1,54.14899866,41458,66.03333333,217.487850,316.002136,125.462216,11.37,51.5,9,2,251.4606142,3.11,48.3,10.5,26.6,Normal
23.033987,2.695263218,50.12998433,38752,65.93333333,363.325305,52.949497,16.391406,14.2,51.5,9,2,235.3480904,2.84,47.4,14.4,25.8,High
0.565720,1.652498846,49.32684244,42449,0,129.018971,25.318466,212.323771,15.6,0,8,11,218.5814315,2.84,0,21.9,21.4,Low
1.146155,0.7921499175,50.05115113,59608,0,99.820125,42.689903,429.356542,7.7,0,9,5,216.0004022,3.05,0,18.2,21,Low
0.650132,1.341761996,56.658321,31674,0,113.994439,6.999295,310.002352,8.48,0,8,3,0,3.13,0,20.7,21.7,Low
0.830262,1.475357939,60.35229397,49040,0,115.699123,18.080601,290.054176,8.6,0,8,7,218.5680068,2.99,0,19,21.6,Low
2.796421,3.495525727,49.91610738,51989,60.06666667,25.447427,11.465324,5.313199,9.7,59.4,10,2,210.2908277,2.22,30,23,21.8,Low
3.331483,6.107717934,0,66319,60.43333333,14.436424,8.328706,6.940589,12.7,59.4,10,1,209.8833981,2.19,30.4,23.7,20.9,Low
10.447870,1.826550742,40.76861255,45745,56.33333333,71.089355,19.507562,4.602908,11.7,59.4,8,1,230.6568276,2.27,26.5,23.5,23.5,Medium
2.736198,3.621438918,48.36632867,38478,60.66666667,22.372445,16.256237,6.840496,15.2,59.4,10,1,219.378722,2.28,31.3,22.9,22.6,Low
13.337154,3,60.49997197,52958,57.83333333,85.228630,21.576579,27.266101,10.97,69.9,9,12,236.7900296,2.59,37.2,29.9,17.3,Normal
3.309200,3.527573869,67.63702945,48287,48.43333333,133.879827,12.800054,11.405822,10.6,69.9,8,3,296.3833969,2.84,26.8,13.5,30.3,Low
15.653755,1,37.77697532,32680,58.96666667,256.459676,13.735104,10.680925,11.5,69.9,10,11,264.0255124,2.95,36.8,14,27.9,Normal
7.006765,3,54.27979988,44987,51.13333333,49.403429,8.998352,9.215616,10.3,69.9,8,11,218.1210281,2.51,33.9,19.4,22.6,Medium
19.440674,4,45.88840932,62205,58.96666667,256.159867,247.897134,79.057394,15.14,48.6,10,4,217.6926753,2.61,33,15.1,21.6,Normal
11.410511,2,64.73251773,72889,59.03333333,145.743785,60.676916,127.320757,6.77,48.6,9,0,233.6754717,2.69,32,16.1,22.5,Medium
15.905877,2,59.145628,78559,57.2,224.356278,84.277172,84.458067,8.26,48.6,10,6,247.0959823,2.8,31.7,14.8,23.9,Normal
11.357336,1,45.68124469,52953,59.36666667,181.507449,132.415385,60.450848,7,48.6,11,8,254.9906405,2.98,32.5,13.5,24.4,Medium
11.982787,3.496454001,53.37754625,43742,58.6,135.116006,158.377334,28.353835,16.1,48.6,11,14,233.9474541,2.46,30.2,18,23.3,Medium
6.902379,3.208826015,1.450860805,74010,63.96666667,79.221316,61.474002,53.512527,5.58,62.8,8,7,246.2927518,2.57,36.8,21.9,18.3,Medium
6.526601,5.654578503,55.06722321,53776,66.13333333,150.452870,113.281477,45.837354,13.96,62.8,9,23,248.7995163,2.58,39.2,14.9,25.4,Medium
6.993640,7.140636042,51.96890459,46861,64.6,128.175265,111.044523,15.621201,13.9,62.8,10,5,234.6233216,2.41,36.7,18.8,23.3,Medium
23.798729,8.317767743,47.31334893,33315,64.13333333,298.412008,246.129760,54.301241,18.4,62.8,10,0,261.3145216,2.72,36.7,12.6,27.6,High
6.520388,2.028731631,81.29898713,48004,61.83333333,43.876000,48.854253,24.195058,6.4,64.1,8,5,260.8379934,2.76,39.4,14.1,25.8,Medium
6.823414,6.761523989,67.75449324,50180,61.06666667,74.144675,173.039313,41.429420,14.6,64.1,9,3,207.4874981,2.38,40.3,13.9,20.8,Medium
7.197848,4.035176725,59.63166949,51937,63.6,59.151726,240.678598,30.416416,14.78,64.1,9,3,220.7166025,2.42,41,16.7,22,Medium
6.586905,4.233583636,33.82675242,57982,61.7,34.353705,63.731302,13.024108,10.4,64.1,9,1,237.1345765,2.55,39.4,14.9,23.7,Medium
20.267737,5.981016182,62.18257097,51386,74,44.039549,480.733265,33.956810,18.27,54.4,10,4,225.8060851,2.62,55.9,14.6,22.7,Normal
29.623601,5.223205925,2.908717598,51005,76.16666667,149.197790,291.907615,42.696645,15.46,54.4,8,11,218.4798367,2.56,57.8,17.7,22,High
24.570415,5.662011975,37.86037976,52004,75.36666667,55.066847,611.405020,29.268680,24.58,54.4,11,1,197.1169619,2.44,57.1,15.6,19.8,High
15.183224,4.308441396,52.86480633,62366,74.06666667,58.812913,137.152051,14.664829,11.8,54.4,8,8,238.8496999,2.72,55.5,17.5,23.7,Normal
7.718672,2.018874126,70.14883328,74756,54.8,33.968731,44.781445,15.906850,8,49.1,9,6,155.5284286,2.24,38.4,31.4,14.8,Medium
5.010245,2.585158151,61.611602,56503,53.2,51.399027,51.359009,16.663465,11.3,49.1,8,6,171.7489435,2.18,29.5,23.9,16.7,Low
15.500242,2.135463017,59.80181063,54089,56.56666667,85.928059,75.487821,24.693171,11.49,49.1,10,6,210.0839147,2.51,36.5,17.3,20.5,Normal
3.692592,1.442418648,70.85160397,93726,54.93333333,38.714517,62.370182,10.904685,7.7,49.1,9,3,178.6868221,2.68,38.4,25.1,17.8,Low
10.539782,1,57.4051247,67363,64,84.245745,200.920526,42.188477,6,48.6,7,6,222.5939776,2.65,42,15,22.3,Medium
12.271281,8,55.95742701,61556,61.46666667,58.103964,320.044381,63.170566,9.24,48.6,10,4,215.7064658,2.58,39.3,16.1,23.1,Medium
15.792509,2,42.47883292,89690,61.63333333,200.604747,218.142779,155.940679,6.9,48.6,8,3,233.7135287,2.79,39.8,17.6,21.6,Normal
23.047814,1,43.73564185,49420,63.4,195.448942,664.733369,44.165630,8.87,48.6,9,6,218.0744661,2.87,41.3,13.9,22.1,High
4.756319,4.460781145,61.06560027,41528,53.16666667,19.394701,56.752588,9.364870,12.3,63.5,8,8,208.2621425,2.29,27.8,18.2,21.5,Low
0.462307,3.400193871,55.56632615,41241,49.03333333,13.511297,15.852658,5.115204,15.3,63.5,9,12,168.5929461,2.23,20.4,24.9,18.3,Low
6.732135,3.799961356,76.47040878,62523,53.63333333,21.579442,39.396210,23.921791,8.2,63.5,7,12,186.5777636,2.36,28.8,19,18.3,Medium
0.704013,2.489188374,70.90415368,31678,54.4,15.991150,7.995575,6.989842,10.94,63.5,9,7,0,2.23,29.5,26,17.6,Low
0.636514,0.9093058359,60.26879081,32730,47.9,16.003783,10.002364,12.002837,11.21,63.5,10,3,0,2.24,28.6,25.3,17,Low
4.400634,4.365428622,65.41101919,40985,51.53333333,14.997360,11.054392,5.914452,15.3,62.4,7,1,184.5097694,2.21,28.6,23.9,18.7,Low
1.329103,0,22.85199794,47070,51.6,25.081461,8.960727,3.301321,10.6,62.4,10,5,177.7996913,2.34,28.7,28,17.7,Low
2.620439,1.679768864,43.94275348,37369,42.3,20.358799,11.422428,3.090775,15.9,62.4,7,0,180.7431297,2.24,30.5,25.8,18.1,Low
1.716971,2.259172239,64.79305982,20861,37.9,24.037593,3.976143,4.970179,14.05,62.4,9,3,0,2.03,20.4,31.2,16.8,Low
7.555777,5.060945185,35.99686364,24513,41,22.025804,899.992872,7.983463,15.44,62.4,10,4,0,2.25,27,25.8,18.1,Medium
4.162586,0.4080966373,51.59248377,31982,46.2,56.997497,670.539050,25.002721,10.71,62.4,10,11,0,2.42,31.9,19.1,20.6,Low
2.086078,1.646903821,23.49582784,21773,37.4,17.018006,73.012736,4.940711,11.61,62.4,10,2,0,2.64,24.2,26.3,15,Low
0.609088,1.82726276,19.73443781,33519,48.5,16.567182,89.292240,4.019978,15.4,62.4,8,0,178.5844804,2.37,21.9,22.7,17.1,Low
3.612328,0.2459457382,74.07578203,30900,41.3,15.002690,9.007763,4.995773,10.52,54,10,10,0,2.36,19.2,23,21.3,Low
15.898535,4.555198285,39.74633798,27209,45,84.047874,13.040372,40.996785,12.47,54,10,8,0,2.28,22.8,23.1,24.6,Normal
10.288541,0.2191034938,59.01809002,40441,46.2,76.000942,75.000991,51.999786,6.37,54,10,7,0,2.59,23.9,14.7,23.4,Medium
1.384867,1.573712703,33.99219438,39780,51.83333333,14.226363,12.589702,2.958580,13.7,54,9,6,161.0852323,2.02,18.3,33.8,16.5,Low
7.816856,2.090098369,45.8700945,51258,56.96666667,48.666231,88.117539,49.756108,6.09,54,8,4,238.4589307,2.72,22.1,14.5,23.7,Medium
2.469279,2.527379949,52.34872033,47272,52.73333333,22.688319,11.736339,5.403364,11.1,54,9,3,237.4284635,2.47,16.3,21.1,24.1,Low
2.437060,2.83970501,63.15164872,41565,51.36666667,25.769263,17.419683,7.565483,18.4,54,8,6,238.4716453,2.54,15,16.5,25.1,Low
1.361073,3.49990278,33.83239354,42633,62.6,14.777367,11.277465,3.888781,11.8,63.5,9,3,191.7168968,2.06,33.2,26.2,20.2,Low
6.617300,2.75720813,40.60973688,40111,62.36666667,32.613833,81.219474,5.317473,16.7,63.5,9,2,214.2744604,2.55,36,18.2,22.5,Medium
4.833888,1.20148649,43.2255721,34540,63.63333333,99.388080,11.176619,24.253262,18.8,63.5,9,7,207.8851044,2.66,41.1,21,22.7,Low
4.338948,2.126935511,34.79666497,35884,64.4,28.756168,13.527310,5.615110,17.6,63.5,10,3,223.2431513,2.37,39.9,21.2,23.2,Low
27.193756,1.573712703,44.25280121,33809,68.7,22.976205,506.106005,4.972932,23.7,63.5,8,1,285.5344328,2.56,48.8,19.5,24.5,High
2.054342,0,0,30285,66.8,5.331507,74.078603,0.195652,22.1,63.5,8,2,43.09227421,2.69,45.7,19,23.1,Low
20.700013,5.354577511,52.69687867,38213,70.43333333,22.332506,641.700405,11.296853,29.4,63.5,9,8,242.5884811,2.55,48.6,16.3,24.4,Normal
